,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
383,846,58,watercress,Coffee,0.035,fruity,1e-05
384,857,58,cookedvegetable,Coffee,1.209999979,green,0.00018
385,446,59,diphenyl oxide,Arabica coffee,659.0,green,0.09735
386,455,59,dusty,Arabica coffee,295.8,smoky,0.0437
387,465,59,everlasting,Arabica coffee,1083.0,floral,0.15999
388,474,59,feta cheese,Arabica coffee,285.0,milky,0.0421
389,484,59,foliage,Arabica coffee,1732.0,floral,0.25587
390,556,59,ketone,Arabica coffee,1339.0,chemical,0.19781
391,570,59,lemon peel,Arabica coffee,1374.0,fruity,0.20298
392,846,59,watercress,Arabica coffee,0.035,fruity,1e-05
393,857,59,cookedvegetable,Arabica coffee,1.209999979,green,0.00018
394,446,60,diphenyl oxide,Robusta coffee,659.0,green,0.09738
395,455,60,dusty,Robusta coffee,294.0,smoky,0.04344
396,465,60,everlasting,Robusta coffee,1083.0,floral,0.16004
397,474,60,feta cheese,Robusta coffee,285.0,milky,0.04211
398,484,60,foliage,Robusta coffee,1732.0,floral,0.25594
399,556,60,ketone,Robusta coffee,1339.0,chemical,0.19786
400,570,60,lemon peel,Robusta coffee,1374.0,fruity,0.20304
401,846,60,watercress,Robusta coffee,0.035,fruity,1e-05
402,857,60,cookedvegetable,Robusta coffee,1.209999979,green,0.00018
403,446,64,diphenyl oxide,Muskmelon,70.0,green,0.06717
404,465,64,everlasting,Muskmelon,167.0,floral,0.16026
405,474,64,feta cheese,Muskmelon,119.0,milky,0.1142
406,484,64,foliage,Muskmelon,128.0,floral,0.12283
407,556,64,ketone,Muskmelon,463.0,chemical,0.44431
408,570,64,lemon peel,Muskmelon,95.0,fruity,0.09116
409,633,64,neroli,Muskmelon,0.07,floral,7e-05
410,446,65,diphenyl oxide,Cucumber,220.6,green,0.08982
411,465,65,everlasting,Cucumber,429.09999999999997,floral,0.17471
412,474,65,feta cheese,Cucumber,522.8,milky,0.21286
413,484,65,foliage,Cucumber,497.2,floral,0.20243
414,556,65,ketone,Cucumber,490.75,chemical,0.19981
415,567,65,leathery,Cucumber,0.04,animal,2e-05
416,570,65,lemon peel,Cucumber,272.9,fruity,0.11111
417,604,65,mercaptan,Cucumber,0.1321,chemical,5e-05
418,633,65,neroli,Cucumber,0.251699997,floral,0.0001
419,787,65,styrene,Cucumber,17.3,wine_like,0.00704
420,846,65,watercress,Cucumber,5.0328,fruity,0.00205
421,446,66,diphenyl oxide,Cucurbita,6664.75,green,0.12811
422,465,66,everlasting,Cucurbita,10361.75,floral,0.19917
423,474,66,feta cheese,Cucurbita,9468.75,milky,0.182
424,484,66,foliage,Cucurbita,10004.1,floral,0.19229
425,556,66,ketone,Cucurbita,8554.5,chemical,0.16443
426,570,66,lemon peel,Cucurbita,6971.25,fruity,0.134
427,446,72,diphenyl oxide,Wild carrot,92.0,green,0.03966
428,465,72,everlasting,Wild carrot,202.0,floral,0.08707
429,474,72,feta cheese,Wild carrot,183.75,milky,0.0792
430,484,72,foliage,Wild carrot,137.75,floral,0.05938
431,556,72,ketone,Wild carrot,271.0,chemical,0.11681
432,570,72,lemon peel,Wild carrot,133.25,fruity,0.05744
433,633,72,neroli,Wild carrot,0.2,floral,9e-05
434,826,72,unripe plum,Wild carrot,900.0,floral,0.38794
435,857,72,cookedvegetable,Wild carrot,400.0,green,0.17242
436,446,73,diphenyl oxide,Japanese persimmon,55.0,green,0.10476
437,465,73,everlasting,Japanese persimmon,102.0,floral,0.19429
438,474,73,feta cheese,Japanese persimmon,111.0,milky,0.21143
439,484,73,foliage,Japanese persimmon,85.0,floral,0.1619
440,556,73,ketone,Japanese persimmon,97.0,chemical,0.18476
441,570,73,lemon peel,Japanese persimmon,75.0,fruity,0.14286
442,446,76,diphenyl oxide,Loquat,39.0,green,0.10803
443,465,76,everlasting,Loquat,63.0,floral,0.17452
444,474,76,feta cheese,Loquat,46.0,milky,0.12742
445,484,76,foliage,Loquat,60.0,floral,0.1662
446,556,76,ketone,Loquat,72.0,chemical,0.19945
447,570,76,lemon peel,Loquat,81.0,fruity,0.22438
448,446,79,diphenyl oxide,Common buckwheat,1901.0,green,0.07301
449,465,79,everlasting,Common buckwheat,5061.0,floral,0.19437
450,474,79,feta cheese,Common buckwheat,3680.0,milky,0.14133
451,484,79,foliage,Common buckwheat,6332.0,floral,0.24318
452,556,79,ketone,Common buckwheat,4721.0,chemical,0.18131
